id;nombre;descripcion;src
1;26.49;correa para perros;../../../content/images/productos/correa.jpg
2;12.2;pelota futbol perro Brasilero;../../../content/images/productos/pelota.jpg
3;07.07;Mordelona la pelota indestructible;../../../content/images/productos/pelotaMorder.jpg
4;18.87;Pelota copia china2;../../../content/images/productos/pelotaMorder.jpg
5;84.57;Pelota copia china3;../../../content/images/productos/pelotaMorder.jpg
6;10.71;Pelota copia china4;../../../content/images/productos/pelotaMorder.jpg
7;07.5;Pelota copia china5;../../../content/images/productos/pelotaMorder.jpg
8;23.17;Pelota copia china6;../../../content/images/productos/pelotaMorder.jpg
9;9.02;Pelota copia china7;../../../content/images/productos/pelotaMorder.jpg
10;60.62;Pelota copia china8;../../../content/images/productos/pelotaMorder.jpg
